id,player_name,team,total_points,points_per_game,now_cost,starts,points_per_start,pts/£,Fix 1-6 ,new_points,diff_vs_prev_year
381,Mohamed Salah,Liverpool,344,9.1,14.5,38,9.052631578947368,23.724137931034484,2.0,346.0,2.0
119,Bryan Mbeumo,Man Utd,236,6.2,8.0,38,6.2105263157894735,29.5,1.0,244.0,8.0
235,Cole Palmer,Chelsea,214,5.8,10.5,36,5.944444444444445,20.38095238095238,1.0,222.0,8.0
499,Alexander Isak,Newcastle,211,6.2,10.5,34,6.205882352941177,20.095238095238095,2.0,209.0,-2.0
525,Chris Wood,Nott'm Forest,200,5.6,7.5,35,5.714285714285714,26.666666666666668,1.0,194.0,-6.0
624,Jarrod Bowen,West Ham,193,5.7,8.0,34,5.676470588235294,24.125,3.0,188.0,-5.0
64,Ollie Watkins,Aston Villa,186,4.9,9.0,31,6.0,20.666666666666668,3.0,180.0,-6.0
135,Yoane Wissa,Brentford,185,5.3,7.5,34,5.4411764705882355,24.666666666666668,2.0,183.0,-2.0
383,Luis Díaz Marulanda,Liverpool,183,5.1,8.0,28,6.535714285714286,22.875,2.0,185.0,2.0
430,Erling Haaland,Man City,181,5.8,14.0,31,5.838709677419355,12.928571428571429,1.0,179.0,-2.0
450,Matheus Santos Carneiro da Cunha,Man Utd,178,5.4,8.0,29,6.137931034482759,22.25,1.0,190.0,12.0
449,Bruno Borges Fernandes,Man Utd,174,4.8,9.0,35,4.9714285714285715,19.333333333333332,1.0,193.0,19.0
82,Antoine Semenyo,Bournemouth,165,4.5,7.0,36,4.583333333333333,23.571428571428573,3.0,169.0,4.0
47,Morgan Rogers,Aston Villa,161,4.4,7.0,37,4.351351351351352,23.0,3.0,166.0,5.0
489,Jacob Murphy,Newcastle,159,4.5,6.5,31,5.129032258064516,24.46153846153846,2.0,165.0,6.0
81,Justin Kluivert,Bournemouth,158,4.6,7.0,29,5.448275862068965,22.571428571428573,3.0,155.0,-3.0
287,Jordan Pickford,Everton,158,4.2,5.5,38,4.157894736842105,28.727272727272727,1.0,166.0,8.0
324,Alex Iwobi,Fulham,156,4.1,6.5,35,4.457142857142857,24.0,2.0,159.0,3.0
515,Morgan Gibbs-White,Nott'm Forest,154,4.5,7.5,34,4.529411764705882,20.533333333333335,1.0,155.0,1.0
486,Anthony Elanga,Newcastle,153,4.0,7.0,31,4.935483870967742,21.857142857142858,2.0,149.0,-4.0
403,Joško Gvardiol,Man City,153,4.1,6.0,36,4.25,25.5,1.0,162.0,9.0
20,Leandro Trossard,Arsenal,152,4.0,7.0,28,5.428571428571429,21.714285714285715,1.0,154.0,2.0
283,Jean-Philippe Mateta,Crystal Palace,150,4.1,7.5,33,4.545454545454546,20.0,3.0,150.0,0.0
502,Matz Sels,Nott'm Forest,150,3.9,5.0,38,3.9473684210526314,30.0,1.0,152.0,2.0
120,Kevin Schade,Brentford,149,3.9,7.0,26,5.730769230769231,21.285714285714285,2.0,152.0,3.0
267,Ismaïla Sarr,Crystal Palace,149,3.9,6.5,30,4.966666666666667,22.923076923076923,3.0,150.0,1.0
266,Eberechi Eze,Crystal Palace,148,4.4,7.5,31,4.774193548387097,19.733333333333334,3.0,152.0,4.0
337,Raúl Jiménez Rodríguez,Fulham,147,3.9,6.5,30,4.9,22.615384615384617,2.0,145.0,-2.0
505,Nikola Milenković,Nott'm Forest,145,3.9,5.5,37,3.918918918918919,26.363636363636363,1.0,178.0,33.0
157,Mitoma Kaoru,Brighton,145,4.0,6.5,28,5.178571428571429,22.307692307692307,1.0,145.0,0.0
654,Jørgen Strand Larsen,Wolves,145,4.1,6.5,30,4.833333333333333,22.307692307692307,3.0,146.0,1.0
373,Virgil van Dijk,Liverpool,143,3.9,6.0,37,3.864864864864865,23.833333333333332,2.0,164.0,21.0
387,Dominik Szoboszlai,Liverpool,143,4.0,6.5,29,4.931034482758621,22.0,2.0,149.0,6.0
256,Daniel Muñoz Mejía,Crystal Palace,142,3.8,5.5,37,3.8378378378378377,25.818181818181817,3.0,157.0,15.0
1,David Raya Martín,Arsenal,142,3.7,5.5,38,3.736842105263158,25.818181818181817,1.0,146.0,4.0
580,Brennan Johnson,Spurs,137,4.2,7.0,24,5.708333333333333,19.571428571428573,1.0,138.0,1.0
253,Dean Henderson,Crystal Palace,135,3.6,5.0,38,3.5526315789473686,27.0,3.0,139.0,4.0
488,Bruno Guimarães Rodriguez Moura,Newcastle,135,3.6,6.5,38,3.5526315789473686,20.76923076923077,2.0,151.0,16.0
237,Enzo Fernández,Chelsea,135,3.8,6.5,32,4.21875,20.76923076923077,1.0,143.0,8.0
371,Milos Kerkez,Liverpool,134,3.5,6.0,38,3.526315789473684,22.333333333333332,2.0,137.0,3.0
581,James Maddison,Spurs,133,4.3,7.0,21,6.333333333333333,19.0,1.0,136.0,3.0
224,Marc Cucurella Saseta,Chelsea,133,3.7,6.0,33,4.03030303030303,22.166666666666668,1.0,140.0,7.0
250,Liam Delap,Chelsea,132,3.6,6.5,32,4.125,20.307692307692307,1.0,130.0,-2.0
121,Mikkel Damsgaard,Brentford,131,3.4,6.0,34,3.8529411764705883,21.833333333333332,2.0,147.0,16.0
487,Harvey Barnes,Newcastle,130,3.9,6.5,17,7.647058823529412,20.0,2.0,128.0,-2.0
6,William Saliba,Arsenal,130,3.7,6.0,35,3.7142857142857144,21.666666666666668,1.0,142.0,12.0
506,Murillo Costa dos Santos,Nott'm Forest,130,3.6,5.5,36,3.611111111111111,23.636363636363637,1.0,169.0,39.0
579,Son Heung-min,Spurs,129,4.3,8.5,24,5.375,15.176470588235293,1.0,129.0,0.0
452,Amad Diallo,Man Utd,129,5.0,6.5,20,6.45,19.846153846153847,1.0,133.0,4.0
97,Francisco Evanilson de Lima Barbosa,Bournemouth,128,4.1,7.0,28,4.571428571428571,18.285714285714285,3.0,126.0,-2.0
507,Ola Aina,Nott'm Forest,128,3.7,5.0,35,3.657142857142857,25.6,1.0,135.0,7.0
106,Nathan Collins,Brentford,127,3.3,5.0,38,3.3421052631578947,25.4,2.0,153.0,26.0
21,Declan Rice,Arsenal,127,3.6,6.5,33,3.8484848484848486,19.53846153846154,1.0,146.0,19.0
16,Bukayo Saka,Arsenal,127,5.1,10.0,20,6.35,12.7,1.0,127.0,0.0
384,Cody Gakpo,Liverpool,127,3.6,7.5,23,5.521739130434782,16.933333333333334,2.0,137.0,10.0
249,João Pedro Junqueira de Jesus,Chelsea,126,4.7,7.5,23,5.478260869565218,16.8,1.0,121.0,-5.0
613,Tomáš Souček,West Ham,126,3.6,6.0,30,4.2,21.0,3.0,130.0,4.0
220,Robert Lynch Sánchez,Chelsea,126,3.9,5.0,32,3.9375,25.2,1.0,124.0,-2.0
19,Gabriel Martinelli Silva,Arsenal,125,3.8,7.0,25,5.0,17.857142857142858,1.0,131.0,6.0
178,Danny Welbeck,Brighton,125,4.2,6.5,24,5.208333333333333,19.23076923076923,1.0,128.0,3.0
402,Rayan Aït-Nouri,Man City,125,3.4,6.0,37,3.3783783783783785,20.833333333333332,1.0,128.0,3.0
485,Anthony Gordon,Newcastle,124,3.6,7.5,28,4.428571428571429,16.533333333333335,2.0,124.0,0.0
258,Tyrick Mitchell,Crystal Palace,123,3.3,5.0,37,3.324324324324324,24.6,3.0,131.0,8.0
386,Alexis Mac Allister,Liverpool,122,3.5,6.5,30,4.066666666666666,18.76923076923077,2.0,146.0,24.0
48,Youri Tielemans,Aston Villa,121,3.4,6.0,35,3.4571428571428573,20.166666666666668,3.0,146.0,25.0
251,Nicolas Jackson,Chelsea,121,4.0,6.5,28,4.321428571428571,18.615384615384617,1.0,119.0,-2.0
292,Vitalii Mykolenko,Everton,121,3.5,5.0,35,3.4571428571428573,24.2,1.0,133.0,12.0
18,Noni Madueke,Arsenal,120,3.8,7.0,27,4.444444444444445,17.142857142857142,1.0,117.0,-3.0
432,André Onana,Man Utd,120,3.5,5.0,34,3.5294117647058822,24.0,1.0,121.0,1.0
610,Aaron Wan-Bissaka,West Ham,118,3.3,4.5,35,3.3714285714285714,26.22222222222222,3.0,130.0,12.0
474,Fabian Schär,Newcastle,118,3.5,5.5,33,3.5757575757575757,21.454545454545453,2.0,131.0,13.0
5,Gabriel dos Santos Magalhães,Arsenal,117,4.2,6.0,28,4.178571428571429,19.5,1.0,123.0,6.0
583,Dejan Kulusevski,Spurs,117,3.7,6.5,27,4.333333333333333,18.0,1.0,117.0,0.0
260,Marc Guéhi,Crystal Palace,116,3.4,4.5,34,3.411764705882353,25.77777777777778,3.0,128.0,12.0
17,Martin Ødegaard,Arsenal,116,3.9,8.0,26,4.461538461538462,14.5,1.0,115.0,-1.0
314,Bernd Leno,Fulham,115,3.0,5.0,38,3.026315789473684,23.0,2.0,117.0,2.0
476,Dan Burn,Newcastle,115,3.1,5.0,37,3.108108108108108,23.0,2.0,136.0,21.0
299,Iliman Ndiaye,Everton,114,3.5,6.5,29,3.9310344827586206,17.53846153846154,1.0,140.0,26.0
325,Emile Smith Rowe,Fulham,114,3.4,6.0,25,4.56,19.0,2.0,114.0,0.0
8,Jurriën Timber,Arsenal,114,3.8,5.5,27,4.222222222222222,20.727272727272727,1.0,112.0,-2.0
257,Maxence Lacroix,Crystal Palace,114,3.3,5.0,35,3.257142857142857,22.8,3.0,147.0,33.0
366,Alisson Becker,Liverpool,112,4.0,5.5,28,4.0,20.363636363636363,2.0,112.0,0.0
32,Emiliano Martínez Romero,Aston Villa,111,3.0,5.0,37,3.0,22.2,,,
83,Dango Ouattara,Bournemouth,111,3.5,6.0,21,5.285714285714286,18.5,3.0,115.0,4.0
399,Ederson Santana de Moraes,Man City,111,4.3,5.5,26,4.269230769230769,20.181818181818183,1.0,112.0,1.0
416,Bernardo Mota Veiga de Carvalho e Silva,Man City,110,3.3,6.5,29,3.793103448275862,16.923076923076923,,,
508,Neco Williams,Nott'm Forest,109,3.1,5.0,28,3.892857142857143,21.8,1.0,127.0,18.0
422,Mateo Kovačić,Man City,109,3.5,6.0,25,4.36,18.166666666666668,1.0,118.0,9.0
227,Levi Samuels Colwill,Chelsea,109,3.1,5.0,35,3.1142857142857143,21.8,1.0,116.0,7.0
596,Dominic Solanke-Mitchell,Spurs,108,4.0,7.5,25,4.32,14.4,1.0,107.0,-1.0
24,Christian Nørgaard,Arsenal,107,3.1,5.5,34,3.1470588235294117,19.454545454545453,1.0,142.0,35.0
517,Elliot Anderson,Nott'm Forest,107,2.9,5.5,33,3.242424242424242,19.454545454545453,1.0,143.0,36.0
453,Alejandro Garnacho Ferreyra,Man Utd,106,2.9,6.5,23,4.608695652173913,16.307692307692307,1.0,111.0,5.0
582,Mohammed Kudus,Spurs,106,3.3,6.5,31,3.4193548387096775,16.307692307692307,1.0,111.0,5.0
491,Sandro Tonali,Newcastle,106,2.9,5.5,28,3.7857142857142856,19.272727272727273,2.0,124.0,18.0
374,Ibrahima Konaté,Liverpool,106,3.4,5.5,30,3.533333333333333,19.272727272727273,2.0,115.0,9.0
316,Antonee Robinson,Fulham,106,2.9,5.0,35,3.0285714285714285,21.2,2.0,133.0,27.0
415,Sávio Moreira de Oliveira,Man City,106,3.7,7.0,21,5.0476190476190474,15.142857142857142,,,
2,Kepa Arrizabalaga Revuelta,Arsenal,106,3.4,4.5,31,3.4193548387096775,23.555555555555557,,,
291,James Tarkowski,Everton,105,3.2,5.5,33,3.1818181818181817,19.09090909090909,1.0,151.0,46.0
414,Phil Foden,Man City,105,3.8,8.0,20,5.25,13.125,1.0,104.0,-1.0
477,Tino Livramento,Newcastle,105,2.8,5.0,32,3.28125,21.0,2.0,113.0,8.0
236,Pedro Lomba Neto,Chelsea,104,3.0,7.0,24,4.333333333333333,14.857142857142858,1.0,104.0,0.0
516,Callum Hudson-Odoi,Nott'm Forest,103,3.3,6.0,25,4.12,17.166666666666668,1.0,102.0,-1.0
38,Ezri Konsa Ngoyo,Aston Villa,103,3.0,4.5,33,3.121212121212121,22.88888888888889,3.0,106.0,3.0
139,Bart Verbruggen,Brighton,103,2.9,4.5,36,2.861111111111111,22.88888888888889,1.0,106.0,3.0
469,Nick Pope,Newcastle,102,3.6,5.0,28,3.642857142857143,20.4,2.0,102.0,0.0
160,Yankuba Minteh,Brighton,102,3.2,6.0,20,5.1,17.0,1.0,110.0,8.0
473,Lewis Hall,Newcastle,102,3.8,5.5,24,4.25,18.545454545454547,2.0,114.0,12.0
490,Joelinton Cássio Apolinário de Lira,Newcastle,99,3.4,6.0,29,3.413793103448276,16.5,2.0,114.0,15.0
241,Moisés Caicedo Corozo,Chelsea,98,2.6,5.5,38,2.5789473684210527,17.818181818181817,1.0,141.0,43.0
568,Pedro Porro Sauceda,Spurs,98,3.0,5.5,28,3.5,17.818181818181817,1.0,108.0,10.0
30,Kai Havertz,Arsenal,97,4.2,7.5,21,4.619047619047619,12.933333333333334,1.0,95.0,-2.0
420,İlkay Gündoğan,Man City,97,2.9,6.5,25,3.88,14.923076923076923,,,
451,Marcus Rashford,Man Utd,95,3.8,7.0,16,5.9375,13.571428571428571,1.0,93.0,-2.0
440,Diogo Dalot Teixeira,Man Utd,95,2.9,4.5,31,3.064516129032258,21.11111111111111,1.0,95.0,0.0
158,Georginio Rutter,Brighton,95,3.4,6.0,19,5.0,15.833333333333334,,,
326,Adama Traoré Diarra,Fulham,95,2.6,5.5,18,5.277777777777778,17.272727272727273,,,
107,Keane Lewis-Potter,Brentford,94,2.5,5.0,36,2.611111111111111,18.8,,,
71,Illia Zabarnyi,Bournemouth,94,2.6,5.0,35,2.6857142857142855,18.8,,,
300,Dwight McNeil,Everton,93,4.4,6.0,15,6.2,15.5,,,
226,Trevoh Chalobah,Chelsea,93,3.7,5.0,23,4.043478260869565,18.6,,,
628,José Malheiro de Sá,Wolves,93,3.2,4.5,29,3.206896551724138,20.666666666666668,,,
22,Mikel Merino Zazón,Arsenal,92,3.3,6.0,17,5.411764705882353,15.333333333333334,,,
390,Ryan Gravenberch,Liverpool,92,2.5,5.5,37,2.4864864864864864,16.727272727272727,,,
372,Andrew Robertson,Liverpool,91,2.8,6.0,29,3.1379310344827585,15.166666666666666,,,
644,Jean-Ricner Bellegarde,Wolves,90,2.6,5.5,20,4.5,16.363636363636363,,,
408,Rúben dos Santos Gato Alves Dias,Man City,90,3.3,5.5,25,3.6,16.363636363636363,,,
37,Lucas Digne,Aston Villa,89,2.8,4.5,28,3.1785714285714284,19.77777777777778,,,
163,Jack Hinshelwood,Brighton,89,3.4,5.5,22,4.045454545454546,16.181818181818183,,,
302,Idrissa Gana Gueye,Everton,89,2.4,5.5,35,2.5428571428571427,16.181818181818183,,,
290,Jarrad Branthwaite,Everton,88,2.9,5.5,28,3.142857142857143,16.0,,,
418,Jérémy Doku,Man City,88,3.0,6.5,16,5.5,13.538461538461538,,,
438,Noussair Mazraoui,Man Utd,88,2.4,5.0,34,2.588235294117647,17.6,,,
151,Jan Paul van Hecke,Brighton,87,2.6,4.5,33,2.6363636363636362,19.333333333333332,,,
84,Marcus Tavernier,Bournemouth,87,3.0,5.5,20,4.35,15.818181818181818,,,
646,João Victor Gomes da Silva,Wolves,87,2.4,5.5,35,2.4857142857142858,15.818181818181818,,,
388,Curtis Jones,Liverpool,87,2.6,5.5,19,4.578947368421052,15.818181818181818,,,
167,Carlos Baleba,Brighton,87,2.6,5.0,31,2.806451612903226,17.4,,,
311,Norberto Bercique Gomes Betuncal,Everton,87,2.9,5.5,15,5.8,15.818181818181818,,,
338,Rodrigo Muniz Carvalho,Fulham,86,2.8,5.5,8,10.75,15.636363636363637,,,
456,Jadon Sancho,Man Utd,86,2.8,6.0,19,4.526315789473684,14.333333333333334,,,
88,Lewis Cook,Bournemouth,82,2.3,5.0,32,2.5625,16.4,,,
605,Maximilian Kilman,West Ham,82,2.2,4.5,38,2.1578947368421053,18.22222222222222,,,
327,Andreas Hoelgebaum Pereira,Fulham,81,2.5,5.5,25,3.24,14.727272727272727,,,
352,Jack Harrison,Leeds,81,2.4,5.5,24,3.375,14.727272727272727,,,
407,Matheus Nunes,Man City,81,3.1,5.5,19,4.2631578947368425,14.727272727272727,,,
612,Lucas Tolentino Coelho de Lima,West Ham,80,2.4,6.0,27,2.962962962962963,13.333333333333334,,,
637,Toti Gomes,Wolves,79,2.5,4.5,30,2.6333333333333333,17.555555555555557,,,
54,John McGinn,Aston Villa,78,2.3,5.5,27,2.888888888888889,14.181818181818182,,,
